<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.01.02	00:00:00	1.12078	1.12164	1.11975	1.12139	233	0	13
2020.01.02	01:00:00	1.12137	1.12213	1.12132	1.12182	618	0	8
2020.01.02	02:00:00	1.12182	1.12186	1.12151	1.12178	380	0	9
2020.01.02	03:00:00	1.12177	1.12240	1.12175	1.12205	735	0	7
2020.01.02	04:00:00	1.12204	1.12241	1.12178	1.12218	473	0	9
2020.01.02	05:00:00	1.12219	1.12226	1.12118	1.12127	556	0	9
2020.01.02	06:00:00	1.12128	1.12140	1.12003	1.12007	656	0	8
2020.01.02	07:00:00	1.12007	1.12039	1.12005	1.12039	647	0	8
2020.01.02	08:00:00	1.12039	1.12072	1.12033	1.12068	699	0	8
2020.01.02	09:00:00	1.12074	1.12097	1.12037	1.12092	1489	0	8
2020.01.02	10:00:00	1.12094	1.12132	1.12046	1.12115	1576	0	6
2020.01.02	11:00:00	1.12113	1.12137	1.12006	1.12026	1305	0	6
2020.01.02	12:00:00	1.12027	1.12034	1.11923	1.11978	1249	0	6
2020.01.02	13:00:00	1.11978	1.12017	1.11836	1.11842	1587	0	6
2020.01.02	14:00:00	1.11842	1.11937	1.11825	1.11925	1366	0	3
2020.01.02	15:00:00	1.11924	1.11964	1.11893	1.11957	1651	0	7
2020.01.02	16:00:00	1.11958	1.11960	1.11695	1.11737	2477	0	6
2020.01.02	17:00:00	1.11735	1.12017	1.11702	1.12000	3245	0	6
2020.01.02	18:00:00	1.11999	1.12025	1.11646	1.11657	2551	0	7
2020.01.02	19:00:00	1.11657	1.11714	1.11631	1.11692	1516	0	7
2020.01.02	20:00:00	1.11693	1.11717	1.11631	1.11697	1287	0	7
2020.01.02	21:00:00	1.11696	1.11698	1.11638	1.11657	1112	0	9
2020.01.02	22:00:00	1.11657	1.11711	1.11654	1.11687	1024	0	9
2020.01.02	23:00:00	1.11686	1.11730	1.11684	1.11720	348	0	9
2020.01.03	00:00:00	1.11710	1.11719	1.11678	1.11706	247	0	14
2020.01.03	01:00:00	1.11707	1.11729	1.11696	1.11701	314	0	10
2020.01.03	02:00:00	1.11703	1.11755	1.11692	1.11750	426	0	9
2020.01.03	03:00:00	1.11749	1.11780	1.11717	1.11730	784	0	8
2020.01.03	04:00:00	1.11731	1.11769	1.11714	1.11721	1255	0	8
2020.01.03	05:00:00	1.11719	1.11732	1.11690	1.11715	865	0	7
2020.01.03	06:00:00	1.11716	1.11745	1.11679	1.11695	650	0	6
2020.01.03	07:00:00	1.11695	1.11700	1.11638	1.11659	1021	0	9
2020.01.03	08:00:00	1.11659	1.11691	1.11635	1.11685	791	0	8
2020.01.03	09:00:00	1.11686	1.11711	1.11515	1.11526	2312	0	3
2020.01.03	10:00:00	1.11527	1.11601	1.11500	1.11507	2149	0	8
2020.01.03	11:00:00	1.11506	1.11517	1.11394	1.11395	1907	0	6
2020.01.03	12:00:00	1.11396	1.11428	1.11302	1.11355	1928	0	7
2020.01.03	13:00:00	1.11351	1.11353	1.11244	1.11295	1669	0	6
2020.01.03	14:00:00	1.11295	1.11421	1.11276	1.11386	1478	0	6
2020.01.03	15:00:00	1.11385	1.11482	1.11367	1.11377	1846	0	0
2020.01.03	16:00:00	1.11376	1.11536	1.11348	1.11516	2001	0	5
2020.01.03	17:00:00	1.11647	1.11669	1.11540	1.11629	3308	0	0
2020.01.03	18:00:00	1.11629	1.11795	1.11619	1.11714	2158	0	7
2020.01.03	19:00:00	1.11715	1.11736	1.11674	1.11715	1354	0	3
2020.01.03	20:00:00	1.11716	1.11727	1.11654	1.11667	1598	0	7
