<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.01.02	1.12078	1.12241	1.11631	1.11720	28780	0	3
2020.01.03	1.11710	1.11795	1.11244	1.11559	32891	0	0
2020.01.06	1.11625	1.12050	1.11566	1.11964	27182	0	5
2020.01.07	1.11928	1.11969	1.11331	1.11514	30360	0	4
2020.01.08	1.11510	1.11677	1.11016	1.11038	40883	0	0
2020.01.09	1.11046	1.11199	1.10925	1.11059	26890	0	2
2020.01.10	1.11040	1.11287	1.10846	1.11160	25896	0	1
2020.01.13	1.11150	1.11463	1.11117	1.11336	22112	0	5
2020.01.14	1.11331	1.11439	1.11039	1.11258	26391	0	4
2020.01.15	1.11255	1.11629	1.11181	1.11490	23635	0	3
2020.01.16	1.11488	1.11721	1.11275	1.11351	24778	0	0
2020.01.17	1.11348	1.11421	1.10857	1.10884	23173	0	3
2020.01.20	1.10913	1.11019	1.10762	1.10954	15599	0	5
2020.01.21	1.10936	1.11176	1.10805	1.10814	23671	0	6
2020.01.22	1.10812	1.10979	1.10696	1.10937	24161	0	1
2020.01.23	1.10909	1.11081	1.10358	1.10572	30719	0	1
2020.01.24	1.10502	1.10611	1.10195	1.10210	25896	0	5
2020.01.27	1.10290	1.10371	1.10092	1.10187	26172	0	1
2020.01.28	1.10179	1.10247	1.09974	1.10210	21867	0	4
2020.01.29	1.10216	1.10270	1.09919	1.10095	21810	0	0
2020.01.30	1.10080	1.10388	1.10040	1.10307	26583	0	5
2020.01.31	1.10302	1.10949	1.10164	1.10940	29403	0	0
2020.02.03	1.10930	1.10933	1.10351	1.10603	28381	0	0
2020.02.04	1.10568	1.10637	1.10322	1.10438	24642	0	3
2020.02.05	1.10434	1.10474	1.09932	1.09983	25007	0	0
2020.02.06	1.09980	1.10134	1.09638	1.09802	22936	0	5
2020.02.07	1.09799	1.09845	1.09414	1.09434	27046	0	6
2020.02.10	1.09431	1.09570	1.09071	1.09101	21168	0	4
2020.02.11	1.09098	1.09242	1.08907	1.09153	23281	0	5
2020.02.12	1.09142	1.09250	1.08647	1.08730	24848	0	0
2020.02.13	1.08714	1.08882	1.08335	1.08385	25811	0	0
2020.02.14	1.08379	1.08607	1.08266	1.08292	23003	0	0
