<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.01.02	00:00:00	1.12078	1.12240	1.11975	1.12205	1966	0	7
2020.01.02	04:00:00	1.12204	1.12241	1.12003	1.12039	2332	0	8
2020.01.02	08:00:00	1.12039	1.12137	1.12006	1.12026	5069	0	6
2020.01.02	12:00:00	1.12027	1.12034	1.11825	1.11957	5853	0	3
2020.01.02	16:00:00	1.11958	1.12025	1.11631	1.11692	9789	0	6
2020.01.02	20:00:00	1.11693	1.11730	1.11631	1.11720	3771	0	7
2020.01.03	00:00:00	1.11710	1.11780	1.11678	1.11730	1771	0	8
2020.01.03	04:00:00	1.11731	1.11769	1.11638	1.11659	3791	0	6
2020.01.03	08:00:00	1.11659	1.11711	1.11394	1.11395	7159	0	3
2020.01.03	12:00:00	1.11396	1.11482	1.11244	1.11377	6921	0	0
2020.01.03	16:00:00	1.11376	1.11795	1.11348	1.11715	8821	0	0
2020.01.03	20:00:00	1.11716	1.11727	1.11517	1.11559	4428	0	7
2020.01.06	00:00:00	1.11625	1.11678	1.11578	1.11622	3479	0	7
2020.01.06	04:00:00	1.11622	1.11705	1.11601	1.11618	2309	0	7
2020.01.06	08:00:00	1.11618	1.11931	1.11566	1.11927	6107	0	5
2020.01.06	12:00:00	1.11927	1.12050	1.11894	1.11970	5968	0	6
2020.01.06	16:00:00	1.11972	1.11997	1.11806	1.11945	6528	0	7
2020.01.06	20:00:00	1.11947	1.11985	1.11876	1.11964	2791	0	5
2020.01.07	00:00:00	1.11928	1.11969	1.11886	1.11929	2163	0	7
2020.01.07	04:00:00	1.11926	1.11938	1.11822	1.11824	1754	0	8
2020.01.07	08:00:00	1.11826	1.11893	1.11722	1.11840	7400	0	6
2020.01.07	12:00:00	1.11840	1.11856	1.11542	1.11557	7476	0	6
2020.01.07	16:00:00	1.11555	1.11617	1.11331	1.11420	8153	0	4
2020.01.07	20:00:00	1.11421	1.11515	1.11409	1.11514	3414	0	6
2020.01.08	00:00:00	1.11510	1.11677	1.11438	1.11552	7071	0	0
2020.01.08	04:00:00	1.11552	1.11608	1.11446	1.11486	4588	0	5
2020.01.08	08:00:00	1.11486	1.11544	1.11246	1.11377	8683	0	0
2020.01.08	12:00:00	1.11378	1.11380	1.11106	1.11194	7980	0	3
2020.01.08	16:00:00	1.11195	1.11302	1.11084	1.11175	8892	0	5
2020.01.08	20:00:00	1.11174	1.11174	1.11016	1.11038	3669	0	6
2020.01.09	00:00:00	1.11046	1.11188	1.11027	1.11169	2928	0	8
2020.01.09	04:00:00	1.11169	1.11185	1.11122	1.11178	1748	0	7
2020.01.09	08:00:00	1.11177	1.11199	1.10979	1.10988	6718	0	2
2020.01.09	12:00:00	1.10988	1.11169	1.10961	1.11144	6174	0	7
2020.01.09	16:00:00	1.11144	1.11144	1.10925	1.11042	6430	0	5
2020.01.09	20:00:00	1.11042	1.11093	1.11029	1.11059	2892	0	7
2020.01.10	00:00:00	1.11040	1.11089	1.10998	1.11037	1891	0	7
2020.01.10	04:00:00	1.11039	1.11106	1.11030	1.11085	1646	0	7
2020.01.10	08:00:00	1.11084	1.11105	1.10907	1.10959	4568	0	1
2020.01.10	12:00:00	1.10959	1.11132	1.10846	1.10961	7042	0	5
2020.01.10	16:00:00	1.10961	1.11287	1.10856	1.11219	8403	0	6
2020.01.10	20:00:00	1.11218	1.11227	1.11160	1.11160	2346	0	8
2020.01.13	00:00:00	1.11150	1.11209	1.11117	1.11207	1576	0	6
2020.01.13	04:00:00	1.11208	1.11314	1.11195	1.11292	1548	0	7
2020.01.13	08:00:00	1.11291	1.11356	1.11141	1.11145	5499	0	6
2020.01.13	12:00:00	1.11145	1.11279	1.11120	1.11182	5036	0	6
2020.01.13	16:00:00	1.11182	1.11463	1.11171	1.11392	6140	0	5
2020.01.13	20:00:00	1.11396	1.11442	1.11326	1.11336	2313	0	7
2020.01.14	00:00:00	1.11331	1.11416	1.11290	1.11367	2594	0	7
2020.01.14	04:00:00	1.11366	1.11383	1.11347	1.11364	1838	0	7
2020.01.14	08:00:00	1.11364	1.11439	1.11298	1.11308	5376	0	6
