<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.01.02	00:00:00	1.12078	1.12139	1.11975	1.12139	84	0	22
2020.01.02	00:30:00	1.12138	1.12164	1.12134	1.12139	149	0	13
2020.01.02	01:00:00	1.12137	1.12212	1.12132	1.12205	435	0	11
2020.01.02	01:30:00	1.12206	1.12213	1.12172	1.12182	183	0	8
2020.01.02	02:00:00	1.12182	1.12186	1.12151	1.12156	197	0	9
2020.01.02	02:30:00	1.12157	1.12184	1.12152	1.12178	183	0	9
2020.01.02	03:00:00	1.12177	1.12240	1.12176	1.12230	398	0	9
2020.01.02	03:30:00	1.12229	1.12232	1.12175	1.12205	337	0	7
2020.01.02	04:00:00	1.12204	1.12212	1.12178	1.12212	289	0	9
2020.01.02	04:30:00	1.12212	1.12241	1.12206	1.12218	184	0	10
2020.01.02	05:00:00	1.12219	1.12226	1.12175	1.12176	273	0	9
2020.01.02	05:30:00	1.12176	1.12177	1.12118	1.12127	283	0	9
2020.01.02	06:00:00	1.12128	1.12140	1.12114	1.12116	266	0	9
2020.01.02	06:30:00	1.12117	1.12117	1.12003	1.12007	390	0	8
2020.01.02	07:00:00	1.12007	1.12028	1.12005	1.12013	363	0	9
2020.01.02	07:30:00	1.12015	1.12039	1.12007	1.12039	284	0	8
2020.01.02	08:00:00	1.12039	1.12065	1.12038	1.12049	358	0	8
2020.01.02	08:30:00	1.12050	1.12072	1.12033	1.12068	341	0	8
2020.01.02	09:00:00	1.12074	1.12094	1.12049	1.12059	781	0	8
2020.01.02	09:30:00	1.12063	1.12097	1.12037	1.12092	708	0	8
2020.01.02	10:00:00	1.12094	1.12132	1.12046	1.12069	893	0	6
2020.01.02	10:30:00	1.12069	1.12120	1.12054	1.12115	683	0	9
2020.01.02	11:00:00	1.12113	1.12137	1.12088	1.12097	610	0	6
2020.01.02	11:30:00	1.12095	1.12106	1.12006	1.12026	695	0	8
2020.01.02	12:00:00	1.12027	1.12034	1.11923	1.11928	647	0	9
2020.01.02	12:30:00	1.11928	1.11991	1.11923	1.11978	602	0	6
2020.01.02	13:00:00	1.11978	1.12017	1.11935	1.11942	792	0	7
2020.01.02	13:30:00	1.11942	1.11950	1.11836	1.11842	795	0	6
2020.01.02	14:00:00	1.11842	1.11919	1.11825	1.11911	735	0	4
2020.01.02	14:30:00	1.11912	1.11937	1.11894	1.11925	631	0	3
2020.01.02	15:00:00	1.11924	1.11964	1.11904	1.11949	748	0	9
2020.01.02	15:30:00	1.11947	1.11964	1.11893	1.11957	903	0	7
2020.01.02	16:00:00	1.11958	1.11960	1.11761	1.11768	1081	0	6
2020.01.02	16:30:00	1.11770	1.11798	1.11695	1.11737	1396	0	6
2020.01.02	17:00:00	1.11735	1.11775	1.11702	1.11733	1276	0	7
2020.01.02	17:30:00	1.11734	1.12017	1.11720	1.12000	1969	0	6
2020.01.02	18:00:00	1.11999	1.12025	1.11825	1.11840	1503	0	7
2020.01.02	18:30:00	1.11839	1.11859	1.11646	1.11657	1048	0	7
2020.01.02	19:00:00	1.11657	1.11707	1.11631	1.11702	830	0	7
2020.01.02	19:30:00	1.11701	1.11714	1.11641	1.11692	686	0	7
2020.01.02	20:00:00	1.11693	1.11707	1.11631	1.11668	755	0	7
2020.01.02	20:30:00	1.11669	1.11717	1.11658	1.11697	532	0	7
2020.01.02	21:00:00	1.11696	1.11698	1.11670	1.11677	467	0	9
2020.01.02	21:30:00	1.11677	1.11678	1.11638	1.11657	645	0	9
2020.01.02	22:00:00	1.11657	1.11711	1.11654	1.11704	557	0	9
2020.01.02	22:30:00	1.11705	1.11708	1.11661	1.11687	467	0	9
2020.01.02	23:00:00	1.11686	1.11730	1.11684	1.11729	193	0	9
2020.01.02	23:30:00	1.11729	1.11729	1.11707	1.11720	155	0	10
2020.01.03	00:00:00	1.11710	1.11715	1.11678	1.11712	93	0	15
2020.01.03	00:30:00	1.11715	1.11719	1.11699	1.11706	154	0	14
2020.01.03	01:00:00	1.11707	1.11728	1.11707	1.11722	174	0	10
2020.01.03	01:30:00	1.11723	1.11729	1.11696	1.11701	140	0	10
2020.01.03	02:00:00	1.11703	1.11734	1.11692	1.11721	240	0	9
2020.01.03	02:30:00	1.11722	1.11755	1.11718	1.11750	186	0	9
2020.01.03	03:00:00	1.11749	1.11780	1.11740	1.11754	294	0	8
