time,open,high,low,close,volume,spread
2022.09.21 01:00:00,11857.7,11858.95,11845.45,11845.95,588,120
2022.09.21 01:15:00,11845.95,11852.33,11843.45,11846.95,421,120
2022.09.21 01:30:00,11846.95,11851.33,11844.58,11850.7,347,120
2022.09.21 01:45:00,11850.7,11852.58,11845.2,11852.2,308,120
2022.09.21 02:00:00,11852.2,11855.33,11829.2,11830.7,561,120
2022.09.21 02:15:00,11830.33,11839.95,11829.08,11836.08,442,120
2022.09.21 02:30:00,11836.33,11848.58,11833.45,11845.83,466,120
2022.09.21 02:45:00,11845.83,11850.58,11841.95,11844.83,592,107
2022.09.21 03:00:00,11845.08,11865.58,11838.95,11861.2,997,120
2022.09.21 03:15:00,11860.7,11865.58,11848.33,11863.95,890,120
2022.09.21 03:30:00,11863.83,11870.95,11858.2,11869.45,764,120
2022.09.21 03:45:00,11868.45,11870.7,11859.45,11860.95,720,120
2022.09.21 04:00:00,11861.08,11864.45,11858.2,11863.33,665,120
2022.09.21 04:15:00,11863.2,11866.7,11830.95,11835.08,971,120
2022.09.21 04:30:00,11835.2,11840.2,11828.58,11839.7,1027,120
2022.09.21 04:45:00,11839.7,11843.95,11833.2,11837.83,901,120
2022.09.21 05:00:00,11837.33,11855.45,11834.95,11851.58,897,120
2022.09.21 05:15:00,11851.83,11858.2,11848.2,11852.83,721,120
2022.09.21 05:30:00,11852.83,11861.33,11846.83,11860.45,728,120
2022.09.21 05:45:00,11860.83,11861.95,11853.95,11856.08,575,120
2022.09.21 06:00:00,11856.2,11856.95,11846.33,11850.2,526,120
2022.09.21 06:15:00,11850.7,11851.08,11844.08,11849.95,466,120
2022.09.21 06:30:00,11850.58,11854.08,11846.45,11849.33,409,120
2022.09.21 06:45:00,11850.08,11860.08,11850.08,11858.7,478,120
2022.09.21 07:00:00,11858.83,11859.2,11849.45,11852.33,402,120
2022.09.21 07:15:00,11852.45,11854.08,11845.58,11846.95,348,120
2022.09.21 07:30:00,11846.95,11853.08,11844.45,11851.7,466,120
2022.09.21 07:45:00,11851.83,11852.95,11844.7,11849.2,413,120
2022.09.21 08:00:00,11850.58,11861.2,11849.45,11853.2,689,120
2022.09.21 08:15:00,11853.33,11861.45,11849.58,11861.2,592,120
2022.09.21 08:30:00,11861.08,11870.08,11856.7,11857.08,770,120
2022.09.21 08:45:00,11857.08,11867.83,11823.2,11832.83,936,120
2022.09.21 09:00:00,11832.95,11858.68,11810.93,11830.43,1774,100
2022.09.21 09:15:00,11832.3,11847.8,11817.05,11817.93,1341,100
2022.09.21 09:30:00,11817.93,11823.93,11801.8,11821.43,1542,100
2022.09.21 09:45:00,11821.8,11833.8,11804.8,11811.68,1331,38
2022.09.21 10:00:00,11812.43,11823.43,11781.68,11798.8,1866,88
2022.09.21 10:15:00,11798.93,11849.68,11796.05,11843.05,1738,100
2022.09.21 10:30:00,11842.68,11847.43,11830.18,11838.3,1480,100
2022.09.21 10:45:00,11838.3,11864.18,11837.68,11838.8,1306,100
2022.09.21 11:00:00,11839.18,11840.93,11821.93,11831.43,1365,100
2022.09.21 11:15:00,11831.43,11854.93,11831.43,11840.8,1173,100
2022.09.21 11:30:00,11841.43,11852.43,11836.3,11846.93,1017,100
2022.09.21 11:45:00,11846.93,11851.55,11843.93,11843.93,912,100
2022.09.21 12:00:00,11844.05,11845.55,11832.05,11832.93,906,100
2022.09.21 12:15:00,11832.93,11834.93,11822.55,11834.05,959,100
2022.09.21 12:30:00,11833.8,11852.8,11832.68,11845.55,1048,100
2022.09.21 12:45:00,11845.93,11864.05,11845.93,11855.93,959,100
2022.09.21 13:00:00,11855.43,11858.93,11846.18,11848.93,732,100
2022.09.21 13:15:00,11849.18,11855.18,11837.8,11849.55,815,100
2022.09.21 13:30:00,11849.55,11849.68,11824.68,11840.93,1028,100
2022.09.21 13:45:00,11840.93,11855.68,11840.8,11844.05,921,100
2022.09.21 14:00:00,11844.68,11850.68,11834.68,11835.05,922,100
2022.09.21 14:15:00,11834.93,11847.93,11833.18,11837.3,858,100
2022.09.21 14:30:00,11836.93,11849.05,11833.3,11845.68,906,100
2022.09.21 14:45:00,11845.93,11867.18,11845.3,11857.8,1129,38
2022.09.21 15:00:00,11857.8,11863.8,11854.3,11861.05,1020,100
2022.09.21 15:15:00,11860.93,11876.8,11853.3,11874.43,1054,100
2022.09.21 15:30:00,11874.55,11907.43,11873.93,11892.68,1471,100
2022.09.21 15:45:00,11892.68,11899.3,11882.93,11894.55,1213,100
2022.09.21 16:00:00,11894.3,11902.93,11885.18,11896.55,1302,100
2022.09.21 16:15:00,11896.3,11901.05,11877.3,11880.55,1199,100
2022.09.21 16:30:00,11880.3,11894.4,11856.9,11860.15,2337,80
2022.09.21 16:45:00,11860.03,11915.15,11859.28,11888.9,2256,80
2022.09.21 17:00:00,11888.15,11904.15,11870.4,11890.15,2237,80
2022.09.21 17:15:00,11890.9,11916.15,11876.03,11915.15,2097,80
2022.09.21 17:30:00,11914.65,11917.28,11870.65,11871.9,2031,80
2022.09.21 17:45:00,11871.9,11887.15,11859.4,11874.65,1913,55
2022.09.21 18:00:00,11874.4,11884.28,11857.4,11883.65,1930,80
2022.09.21 18:15:00,11884.15,11884.53,11866.4,11881.9,1844,80
2022.09.21 18:30:00,11882.15,11896.53,11880.65,11892.4,1820,80
2022.09.21 18:45:00,11892.9,11895.53,11876.4,11886.65,1643,80
2022.09.21 19:00:00,11886.4,11900.78,11876.53,11895.9,1593,55
2022.09.21 19:15:00,11895.78,11910.65,11892.9,11910.03,1574,67
2022.09.21 19:30:00,11910.28,11927.78,11905.4,11912.78,1513,67
2022.09.21 19:45:00,11912.65,11925.4,11899.28,11899.28,1669,30
2022.09.21 20:00:00,11899.4,11905.4,11891.15,11896.28,1471,80
2022.09.21 20:15:00,11896.03,11900.15,11883.15,11899.15,1512,67
2022.09.21 20:30:00,11899.4,11925.4,11897.4,11923.65,1514,80
2022.09.21 20:45:00,11923.53,11957.53,11915.15,11948.53,1585,80
2022.09.21 21:00:00,11948.65,11958.65,11684.78,11719.53,2503,0
2022.09.21 21:15:00,11717.28,11808.03,11711.28,11766.53,2441,0
2022.09.21 21:30:00,11765.78,12013.65,11732.53,11998.65,2557,0
2022.09.21 21:45:00,11998.15,12055.65,11904.65,11989.78,2504,0
2022.09.21 22:00:00,11993.15,12014.4,11815.9,11927.53,2495,80
2022.09.21 22:15:00,11929.53,11953.15,11770.03,11772.78,2440,0
2022.09.21 22:30:00,11771.65,11779.4,11673.4,11673.4,2421,55
2022.09.21 22:45:00,11673.28,11690.65,11623.28,11623.4,2385,80
2022.09.21 23:00:00,11622.53,11625.65,11603.45,11614.45,1755,80
2022.09.21 23:15:00,11614.95,11620.45,11565.7,11568.45,1273,120
2022.09.21 23:30:00,11568.45,11586.83,11568.45,11575.33,1008,120
2022.09.21 23:45:00,11575.33,11596.58,11574.7,11585.08,881,120
2022.09.22 01:00:00,11593.34,11598.84,11576.34,11579.34,764,120
2022.09.22 01:15:00,11578.46,11586.84,11576.09,11585.59,729,120
2022.09.22 01:30:00,11585.59,11586.84,11551.96,11552.34,689,120
2022.09.22 01:45:00,11552.34,11554.21,11539.09,11544.21,986,107
2022.09.22 02:00:00,11544.09,11554.96,11531.59,11532.21,771,70
2022.09.22 02:15:00,11532.09,11547.84,11532.09,11540.46,759,120
2022.09.22 02:30:00,11540.59,11540.59,11528.84,11533.84,852,120
2022.09.22 02:45:00,11533.96,11544.09,11528.34,11534.09,830,120
2022.09.22 03:00:00,11533.46,11548.34,11523.71,11538.96,1152,120
2022.09.22 03:15:00,11539.34,11543.59,11526.46,11534.46,1061,120
2022.09.22 03:30:00,11534.21,11539.09,11512.59,11516.84,947,120
2022.09.22 03:45:00,11516.34,11524.71,11494.59,11501.96,1174,120
2022.09.22 04:00:00,11502.21,11507.96,11471.21,11478.21,1260,120
2022.09.22 04:15:00,11477.34,11494.84,11477.34,11489.59,1331,107
2022.09.22 04:30:00,11489.46,11500.09,11483.59,11499.71,1253,120
2022.09.22 04:45:00,11499.84,11520.96,11494.96,11520.09,1227,120
2022.09.22 05:00:00,11520.21,11532.09,11512.34,11518.84,1240,70
2022.09.22 05:15:00,11518.09,11528.96,11514.21,11518.34,1005,120
2022.09.22 05:30:00,11518.46,11534.84,11515.34,11532.59,916,120
2022.09.22 05:45:00,11533.09,11552.09,11530.59,11537.96,1278,120
2022.09.22 06:00:00,11537.09,11538.59,11523.46,11527.34,1009,82
2022.09.22 06:15:00,11527.59,11535.96,11524.09,11529.59,780,120
2022.09.22 06:30:00,11530.84,11542.71,11529.96,11540.34,839,120
2022.09.22 06:45:00,11540.59,11540.59,11527.09,11531.09,654,120
2022.09.22 07:00:00,11531.21,11540.46,11528.46,11536.46,627,120
2022.09.22 07:15:00,11536.21,11549.21,11532.09,11547.96,733,120
2022.09.22 07:30:00,11547.34,11550.59,11539.09,11539.59,640,120
2022.09.22 07:45:00,11539.59,11544.59,11537.21,11538.46,516,120
2022.09.22 08:00:00,11538.34,11548.09,11534.21,11534.59,784,120
2022.09.22 08:15:00,11534.59,11546.84,11533.59,11545.59,724,120
2022.09.22 08:30:00,11545.59,11565.84,11540.96,11558.09,1060,120
2022.09.22 08:45:00,11558.84,11559.21,11545.71,11545.84,788,120
2022.09.22 09:00:00,11546.21,11569.19,11544.59,11553.19,1232,100
2022.09.22 09:15:00,11553.31,11569.56,11551.06,11567.31,1085,100
2022.09.22 09:30:00,11567.31,11567.69,11527.06,11529.56,1186,100
2022.09.22 09:45:00,11529.56,11541.06,11518.19,11536.06,1179,100
2022.09.22 10:00:00,11536.31,11541.19,11521.81,11539.19,1724,63
2022.09.22 10:15:00,11539.56,11575.69,11538.44,11565.31,1703,100
2022.09.22 10:30:00,11564.19,11584.56,11560.69,11583.44,1686,100
2022.09.22 10:45:00,11584.81,11645.06,11584.81,11634.06,1694,100
2022.09.22 11:00:00,11634.06,11669.19,11630.94,11644.19,1815,100
2022.09.22 11:15:00,11644.31,11678.69,11644.31,11664.31,1829,100
2022.09.22 11:30:00,11662.94,11705.94,11662.94,11705.44,1670,100
2022.09.22 11:45:00,11705.44,11716.69,11669.81,11675.44,1745,100
2022.09.22 12:00:00,11674.69,11677.69,11636.19,11653.44,1602,100
2022.09.22 12:15:00,11653.44,11662.69,11632.31,11642.31,1370,100
2022.09.22 12:30:00,11642.56,11653.94,11603.69,11609.31,1471,100
2022.09.22 12:45:00,11609.31,11627.94,11604.19,11621.94,1372,100
2022.09.22 13:00:00,11621.19,11625.56,11601.44,11608.69,1169,100
2022.09.22 13:15:00,11608.56,11635.44,11606.81,11635.19,1110,100
2022.09.22 13:30:00,11636.06,11654.81,11633.44,11639.56,1226,100
2022.09.22 13:45:00,11639.69,11649.69,11625.69,11646.56,1125,100
2022.09.22 14:00:00,11646.19,11654.06,11583.31,11583.94,1738,100
2022.09.22 14:15:00,11584.56,11604.44,11561.19,11564.06,1669,100
2022.09.22 14:30:00,11563.94,11603.56,11563.94,11601.19,1636,38
